shapeName,imds,rank_imds,COORD_X,COORD_Y,sdg2_2_cmc,sdg2_2_oww,sdg3_3_cdir,sdg3_3_di,sdg3_3_imr,sdg3_3_ti,sdg3_3_hivi,sdg3_7_afr,sdg3_2_mrc,index_sdg1,sdg1_4_abs
Charaña,47.799999,230,-69.156989,-17.659026,38.5,13.6,0,0,0,0,0,20,80.800003,16.440001,9.9
Achacachi,54.700001,86,-68.665246,-16.016888,14.0,22.799999,0,0,0,34,47,43,45.799999,41.400002,39.099998
Taraco,52.900002,120,-68.853405,-16.461519,14.0,22.799999,0,0,0,14,0,51,35.299999,30.98,19.4
La (Marka) San Andrés de Mach,49.200001,200,-69.043961,-16.89974,38.5,13.6,0,0,0,0,0,44,42.900002,12.66,10.7
Tacobamba,37.200001,335,-65.553892,-19.212862,49.200001,11.3,0,0,0,8,0,46,70.599998,4.72,1.6
Challapata,51.099998,160,-66.552401,-18.890258,31.5,19.5,0,0,0,39,75,72,58.400002,33.740002,25.0
Uncía,51.099998,161,-66.531296,-18.587734,29.5,18.0,0,0,0,46,21,54,65.099998,40.360001,33.200001
Ravelo,38.900002,329,-65.56374,-18.753343,49.200001,11.3,1,0,0,23,0,77,56.700001,9.45,15.9
Mizque,45.0,286,-65.420039,-18.05581,30.200001,14.7,3,0,0,38,79,79,49.5,24.01,16.0
Pasorapa,56.799999,60,-64.600649,-18.392601,18.1,23.4,2,0,0,0,0,30,31.799999,34.93,34.400002
Cotagaita,47.599998,233,-65.768956,-20.672872,29.5,18.0,1,0,0,44,7,61,40.900002,29.790001,21.200001
Camargo,53.0,115,-65.156369,-20.601989,24.299999,27.1,2,0,0,35,89,71,25.700001,44.290001,44.200001
Villazón,62.0,21,-65.642085,-21.913603,18.0,18.9,0,0,0,24,42,55,35.5,63.470001,66.900002
Padcaya,59.299999,32,-64.528925,-22.133981,14.2,27.5,0,0,0,58,0,56,16.9,52.299999,47.200001
